"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","549","test_checkout[standard_user-secret_sauce]","tests.functional","Sun Apr 20 03:58:06 UTC 2025","passed","Sun Apr 20 03:58:07 UTC 2025","","test_add_item","",""
"","32","test_ui_elements[error_user-secret_sauce]","tests.ui","Sun Apr 20 03:58:47 UTC 2025","passed","Sun Apr 20 03:58:47 UTC 2025","","test_products_page_ui","",""
"","486","test_checkout[problem_user-secret_sauce]","tests.functional","Sun Apr 20 03:58:08 UTC 2025","failed","Sun Apr 20 03:58:08 UTC 2025","","test_add_item","",""
"","56","test_images[visual_user-secret_sauce]","tests.ui","Sun Apr 20 03:58:57 UTC 2025","passed","Sun Apr 20 03:58:57 UTC 2025","","test_products_page_ui","",""
"","58","test_responsive_layout[standard_user-secret_sauce]","tests.ui","Sun Apr 20 03:58:58 UTC 2025","passed","Sun Apr 20 03:58:58 UTC 2025","","test_products_page_ui","",""
"","58","test_responsive_layout[problem_user-secret_sauce]","tests.ui","Sun Apr 20 03:58:59 UTC 2025","passed","Sun Apr 20 03:58:59 UTC 2025","","test_products_page_ui","",""
"","907","test_logout_time[problem_user-secret_sauce]","tests.performance","Sun Apr 20 03:58:29 UTC 2025","passed","Sun Apr 20 03:58:29 UTC 2025","","test_login_performance","",""
"","509","test_checkout[performance_glitch_user-secret_sauce]","tests.functional","Sun Apr 20 03:58:14 UTC 2025","passed","Sun Apr 20 03:58:15 UTC 2025","","test_add_item","",""
"","10254","test_remove_backpack[problem_user-secret_sauce]","tests.functional","Sun Apr 20 03:57:22 UTC 2025","failed","Sun Apr 20 03:57:32 UTC 2025","","test_add_item","",""
"","201","test_continue_shopping[problem_user-secret_sauce]","tests.functional","Sun Apr 20 03:57:52 UTC 2025","passed","Sun Apr 20 03:57:52 UTC 2025","","test_add_item","",""
"","83","test_add_backpack[performance_glitch_user-secret_sauce]","tests.functional","Sun Apr 20 03:57:18 UTC 2025","passed","Sun Apr 20 03:57:18 UTC 2025","","test_add_item","",""
"","223","test_continue_shopping[error_user-secret_sauce]","tests.functional","Sun Apr 20 03:58:04 UTC 2025","passed","Sun Apr 20 03:58:04 UTC 2025","","test_add_item","",""
"","504","test_checkout[error_user-secret_sauce]","tests.functional","Sun Apr 20 03:58:16 UTC 2025","failed","Sun Apr 20 03:58:16 UTC 2025","","test_add_item","",""
"","10254","test_remove_backpack[error_user-secret_sauce]","tests.functional","Sun Apr 20 03:57:39 UTC 2025","failed","Sun Apr 20 03:57:49 UTC 2025","","test_add_item","",""
"","64","test_responsive_layout[visual_user-secret_sauce]","tests.ui","Sun Apr 20 03:59:07 UTC 2025","passed","Sun Apr 20 03:59:07 UTC 2025","","test_products_page_ui","",""
"","79","test_add_backpack[visual_user-secret_sauce]","tests.functional","Sun Apr 20 03:57:20 UTC 2025","passed","Sun Apr 20 03:57:20 UTC 2025","","test_add_item","",""
"","274","test_login_time[error_user-secret_sauce]","tests.performance","Sun Apr 20 03:58:25 UTC 2025","passed","Sun Apr 20 03:58:26 UTC 2025","","test_login_performance","",""
"","82","test_add_backpack[error_user-secret_sauce]","tests.functional","Sun Apr 20 03:57:19 UTC 2025","passed","Sun Apr 20 03:57:19 UTC 2025","","test_add_item","",""
"","205","test_continue_shopping[standard_user-secret_sauce]","tests.functional","Sun Apr 20 03:57:51 UTC 2025","passed","Sun Apr 20 03:57:51 UTC 2025","","test_add_item","",""
"","912","test_logout_time[standard_user-secret_sauce]","tests.performance","Sun Apr 20 03:58:27 UTC 2025","passed","Sun Apr 20 03:58:28 UTC 2025","","test_login_performance","",""
"","80","test_add_backpack[standard_user-secret_sauce]","tests.functional","Sun Apr 20 03:57:11 UTC 2025","passed","Sun Apr 20 03:57:11 UTC 2025","","test_add_item","",""
"","33","test_ui_elements[visual_user-secret_sauce]","tests.ui","Sun Apr 20 03:58:48 UTC 2025","passed","Sun Apr 20 03:58:48 UTC 2025","","test_products_page_ui","",""
"","57","test_images[problem_user-secret_sauce]","tests.ui","Sun Apr 20 03:58:50 UTC 2025","passed","Sun Apr 20 03:58:50 UTC 2025","","test_products_page_ui","",""
"","217","test_continue_shopping[visual_user-secret_sauce]","tests.functional","Sun Apr 20 03:58:05 UTC 2025","passed","Sun Apr 20 03:58:06 UTC 2025","","test_add_item","",""
"","66","test_responsive_layout[performance_glitch_user-secret_sauce]","tests.ui","Sun Apr 20 03:59:05 UTC 2025","passed","Sun Apr 20 03:59:05 UTC 2025","","test_products_page_ui","",""
"","35","test_ui_elements[performance_glitch_user-secret_sauce]","tests.ui","Sun Apr 20 03:58:46 UTC 2025","passed","Sun Apr 20 03:58:46 UTC 2025","","test_products_page_ui","",""
"","908","test_logout_time[error_user-secret_sauce]","tests.performance","Sun Apr 20 03:58:36 UTC 2025","passed","Sun Apr 20 03:58:37 UTC 2025","","test_login_performance","",""
"","82","test_add_backpack[problem_user-secret_sauce]","tests.functional","Sun Apr 20 03:57:12 UTC 2025","passed","Sun Apr 20 03:57:12 UTC 2025","","test_add_item","",""
"","32","test_ui_elements[problem_user-secret_sauce]","tests.ui","Sun Apr 20 03:58:40 UTC 2025","passed","Sun Apr 20 03:58:40 UTC 2025","","test_products_page_ui","",""
"","902","test_logout_time[visual_user-secret_sauce]","tests.performance","Sun Apr 20 03:58:38 UTC 2025","passed","Sun Apr 20 03:58:39 UTC 2025","","test_login_performance","",""
"","269","test_login_time[visual_user-secret_sauce]","tests.performance","Sun Apr 20 03:58:26 UTC 2025","passed","Sun Apr 20 03:58:26 UTC 2025","","test_login_performance","",""
"","5278","test_login_time[performance_glitch_user-secret_sauce]","tests.performance","Sun Apr 20 03:58:20 UTC 2025","failed","Sun Apr 20 03:58:25 UTC 2025","","test_login_performance","",""
"","55","test_images[standard_user-secret_sauce]","tests.ui","Sun Apr 20 03:58:49 UTC 2025","passed","Sun Apr 20 03:58:49 UTC 2025","","test_products_page_ui","",""
"","5212","test_continue_shopping[performance_glitch_user-secret_sauce]","tests.functional","Sun Apr 20 03:57:58 UTC 2025","passed","Sun Apr 20 03:58:03 UTC 2025","","test_add_item","",""
"","21","test_text_style[performance_glitch_user-secret_sauce]","tests.ui","Sun Apr 20 03:59:14 UTC 2025","passed","Sun Apr 20 03:59:14 UTC 2025","","test_products_page_ui","",""
"","125","test_remove_backpack[performance_glitch_user-secret_sauce]","tests.functional","Sun Apr 20 03:57:38 UTC 2025","passed","Sun Apr 20 03:57:38 UTC 2025","","test_add_item","",""
"","509","test_checkout[visual_user-secret_sauce]","tests.functional","Sun Apr 20 03:58:17 UTC 2025","passed","Sun Apr 20 03:58:17 UTC 2025","","test_add_item","",""
"","126","test_remove_backpack[standard_user-secret_sauce]","tests.functional","Sun Apr 20 03:57:21 UTC 2025","passed","Sun Apr 20 03:57:21 UTC 2025","","test_add_item","",""
"","57","test_images[performance_glitch_user-secret_sauce]","tests.ui","Sun Apr 20 03:58:56 UTC 2025","passed","Sun Apr 20 03:58:56 UTC 2025","","test_products_page_ui","",""
